id гп_документКод                       гп_номенклатураКод гп_цена гп_количФактич гп_количБухУч гп_количНедос гп_количИзлиш
-- ------------------------------------ ------------------ ------- -------------- ------------- ------------- -------------
 1 aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee1                  1      18              2             2             0             0
 2 aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee1                  2      12             10            10             0             0
 3 aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee1                  3      24              3             3             0             0
 4 aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee1                  4      22             10            10             2             0
 5 aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee1                  5      38             10            10             1             0
 6 aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee1                  6       2             30            30             0             0
 7 aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee1                  7      12              5             5             0             0
 8 aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee1                  8       4             30            30             0             0
 9 aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee1                  9       4             10            10             0             0

(9 rows affected)
